Date,_SPXD_Close,CPUSAM_Close,__XAU_D_Close,_VIXD_Close,BRT_D_Close
01/02/2023,,,1823.6899,,82.82
01/03/2023,3824.14,,1839.49,22.9,80.36
01/04/2023,3852.97,,1854.09,22.01,75.31
01/05/2023,3808.1,,1833.1899,22.46,76.73
01/06/2023,3895.08,,1865.71,21.13,76.41
01/09/2023,3892.09,,1871.59,21.97,77.5
01/10/2023,3919.25,,1877.27,20.58,78.4
01/11/2023,3969.61,,1876.38,21.09,81.11
01/12/2023,3983.17,,1896.86,18.83,82.59
01/13/2023,3999.09,,1920.21,18.35,83.43
01/16/2023,3999.09,,1918,18.35,82.65
01/17/2023,3990.97,,1908.39,19.36,84.38
01/18/2023,3928.86,,1903.76,20.34,83.78
01/19/2023,3898.85,,1931.39,20.52,85.08
01/20/2023,3972.61,,1926.5699,19.85,86.96
01/23/2023,4019.81,,1931.3,19.81,87.54
01/24/2023,4016.95,,1937.45,19.2,85.25
01/25/2023,4016.22,,1945.9301,19.08,85.08
01/26/2023,4060.43,,1928.99,18.73,86.29
01/27/2023,4070.56,,1927.34,18.51,85.36
01/30/2023,4017.77,,1922.52,19.94,84.9
01/31/2023,4076.6,299.17,1927.88,19.4,83.42
02/01/2023,4119.21,299.17,1950.42,17.87,81.61
02/02/2023,4179.76,299.17,1912.37,18.73,80.57
02/03/2023,4136.48,299.17,1865.53,18.33,78.85
02/06/2023,4111.08,299.17,1867.36,19.43,80.48
02/07/2023,4164,299.17,1873.8101,18.66,82.92
02/08/2023,4117.86,299.17,1875.59,19.63,84.17
02/09/2023,4081.5,299.17,1861.39,20.71,83.46
02/10/2023,4090.46,299.17,1864.67,20.53,85.46
02/13/2023,4137.29,299.17,1853.39,20.34,85.98
02/14/2023,4136.13,299.17,1854.29,18.91,84.96
02/15/2023,4147.6,299.17,1836.1899,18.23,84.11
02/16/2023,4090.41,299.17,1837.4399,20.17,83.84
02/17/2023,4079.09,299.17,1841.59,20.02,81.97
02/20/2023,4079.09,299.17,1841.14,20.02,82.79
02/21/2023,3997.34,299.17,1834.3199,22.87,82.14
02/22/2023,3991.05,299.17,1825.04,22.29,79.55
02/23/2023,4012.32,299.17,1822.64,21.14,82.08
02/24/2023,3970.04,299.17,1810.8101,21.67,82.31
02/27/2023,3982.24,299.17,1817.3101,20.95,81.24
02/28/2023,3970.15,300.84,1827.15,20.7,83.21
03/01/2023,3951.39,300.84,1836.8101,20.58,83.68
03/02/2023,3981.35,300.84,1836,19.59,84.15
03/03/2023,4045.64,300.84,1836,18.49,85.74
03/06/2023,4048.42,300.84,1836,18.61,85.86
03/07/2023,3986.37,300.84,1836,19.59,83.03
03/08/2023,3992.01,300.84,1836,19.11,82.1
03/09/2023,3918.32,300.84,1830.89,22.61,81
03/10/2023,3861.59,300.84,1867.83,24.8,82.3
03/13/2023,3855.76,300.84,1913.24,26.52,79.67
03/14/2023,3919.29,300.84,1902.12,23.73,76.77
03/15/2023,3891.93,300.84,1918.1,26.14,74.3
03/16/2023,3960.28,300.84,1919.12,22.99,73.12
03/17/2023,3916.64,300.84,1987.9301,25.51,71.03
03/20/2023,3951.57,300.84,1978.71,24.15,72.42
03/21/2023,4002.87,300.84,1940.15,21.38,74.78
03/22/2023,3936.97,300.84,1969.58,22.26,76.08
03/23/2023,3948.72,300.84,1993.5,22.61,74.31
03/24/2023,3970.99,300.84,1977.22,21.74,73.63
03/27/2023,3977.53,300.84,1956.5601,20.6,76.8
03/28/2023,3971.27,300.84,1973.6899,19.97,78.07
03/29/2023,4027.81,300.84,1964.04,19.12,77.51
03/30/2023,4050.83,300.84,1980.25,19.02,78.45
03/31/2023,4109.31,301.836,1967.9,18.7,79.19
04/03/2023,4124.51,301.836,1984.11,18.55,85.81
04/04/2023,4100.6,301.836,2019.97,19,85.7
04/05/2023,4090.38,301.836,2020.35,19.08,85.89
04/06/2023,4105.02,301.836,2008.02,18.4,86.56
04/07/2023,4105.02,301.836,1989.96,18.4,86.56
04/10/2023,4109.11,301.836,1989.96,18.97,86.56
04/11/2023,4108.94,301.836,2003.14,19.1,87.32
04/12/2023,4091.95,301.836,2014.67,19.09,88.31
04/13/2023,4146.22,301.836,2039.74,17.8,86.51
04/14/2023,4137.64,301.836,2003.04,17.07,87.31
04/17/2023,4151.32,301.836,1994.77,16.95,85.63
04/18/2023,4154.87,301.836,2004.9301,16.83,85.48
04/19/2023,4154.52,301.836,1993.26,16.46,85.34
04/20/2023,4129.79,301.836,2004.34,17.17,83.29
04/21/2023,4133.52,301.836,1982.89,16.77,83.36
04/24/2023,4137.04,301.836,1988.88,16.89,84.23
04/25/2023,4071.63,301.836,1997.87,18.76,82.13
04/26/2023,4055.99,301.836,1989.48,18.84,79.19
04/27/2023,4135.35,301.836,1987.87,17.03,80.11
04/28/2023,4169.48,301.836,1989.65,15.78,81.32
04/30/2023,4169.48,303.363,1989.65,15.78,81.32
05/01/2023,4167.87,303.363,1982.05,16.08,81.32
05/02/2023,4119.58,303.363,2016.28,17.78,76.71
05/03/2023,4090.75,303.363,2039.02,18.34,72.91
05/04/2023,4061.22,303.363,2051.1101,20.09,73
05/05/2023,4136.25,303.363,2016.54,17.19,75.85
05/08/2023,4138.12,303.363,2021.39,16.98,75.85
05/09/2023,4119.17,303.363,2034.17,17.71,77.76
05/10/2023,4137.64,303.363,2029.51,16.94,76.7
05/11/2023,4130.62,303.363,2015.55,16.93,75.32
05/12/2023,4124.08,303.363,2011.15,17.03,74.54
05/15/2023,4136.28,303.363,2018.41,17.12,75.46
05/16/2023,4109.9,303.363,1988.6,17.99,75.15
05/17/2023,4158.77,303.363,1981.72,16.87,76.98
05/18/2023,4198.05,303.363,1958.05,16.05,75.75
05/19/2023,4191.98,303.363,1976.5601,16.81,75.42
05/22/2023,4192.63,303.363,1969.4301,17.21,75.77
05/23/2023,4145.58,303.363,1974.73,18.53,76.66
05/24/2023,4115.24,303.363,1957.01,20.03,77.99
05/25/2023,4151.28,303.363,1940.34,19.14,75.66
05/26/2023,4205.45,303.363,1946.33,17.95,76.33
05/29/2023,4205.45,303.363,1942.84,17.95,76.33
05/30/2023,4205.52,303.363,1959.14,17.46,73.38
05/31/2023,4179.83,304.127,1962.3,17.94,71.98
06/01/2023,4221.02,304.127,1977.88,15.65,74.18
06/02/2023,4282.37,304.127,1947.63,14.6,76
06/05/2023,4273.79,304.127,1961.45,14.73,76.61
06/06/2023,4283.85,304.127,1962.85,13.96,76.22
06/07/2023,4267.52,304.127,1939.63,13.94,76.85
06/08/2023,4293.93,304.127,1967.76,13.65,75.88
06/09/2023,4298.86,304.127,1960.6,13.83,74.74
06/12/2023,4338.93,304.127,1956.92,15.01,71.8
06/13/2023,4369.01,304.127,1943.33,14.61,74.24
06/14/2023,4372.59,304.127,1942.99,13.88,73.39
06/15/2023,4425.84,304.127,1957.65,14.5,75.75
06/16/2023,4409.59,304.127,1957.36,13.54,76.76
06/19/2023,4409.59,304.127,1950.12,13.54,76.09
06/20/2023,4388.71,304.127,1935.91,13.88,75.79
06/21/2023,4365.69,304.127,1932.26,13.2,76.92
06/22/2023,4381.89,304.127,1913.52,12.91,73.93
06/23/2023,4348.33,304.127,1921.36,13.44,73.56
06/26/2023,4328.82,304.127,1922.85,14.25,73.86
06/27/2023,4378.41,304.127,1913.35,13.74,71.88
06/28/2023,4376.86,304.127,1907.42,13.43,73.64
06/29/2023,4396.44,304.127,1908.15,13.54,73.86
06/30/2023,4450.38,305.109,1919.5699,13.59,74.51
07/03/2023,4455.59,305.109,1921.4301,13.57,74.52
07/04/2023,4455.59,305.109,1925.09,13.57,76.23
07/05/2023,4446.82,305.109,1917.3199,13.57,76.74
07/06/2023,4411.59,305.109,1910.8,15.44,76.72
07/07/2023,4398.95,305.109,1924.28,14.83,78.77
07/10/2023,4409.53,305.109,1924.99,15.07,77.83
07/11/2023,4439.26,305.109,1932,14.84,79.54
07/12/2023,4472.16,305.109,1957.09,13.54,80.35
07/13/2023,4510.04,305.109,1960.1899,13.61,81.31
07/14/2023,4505.42,305.109,1954.9301,13.34,79.9
07/17/2023,4522.79,305.109,1954.74,13.48,77.8
07/18/2023,4554.98,305.109,1978.72,13.3,79.54
07/19/2023,4565.72,305.109,1976.74,13.76,79.38
07/20/2023,4534.87,305.109,1969.62,13.99,79.62
07/21/2023,4536.34,305.109,1960.23,13.6,81.06
07/24/2023,4554.64,305.109,1954.51,13.91,82.53
07/25/2023,4567.46,305.109,1964.58,13.86,83.46
07/26/2023,4566.75,305.109,1972.1,13.19,82.98
07/27/2023,4537.41,305.109,1944.99,14.41,84.28
07/28/2023,4582.23,305.109,1959.2,13.33,84.49
07/31/2023,4588.96,305.691,1964.1899,13.63,85.22
08/01/2023,4576.73,305.691,1944.08,13.93,85.34
08/02/2023,4513.39,305.691,1933.5601,16.09,84.01
08/03/2023,4501.89,305.691,1933.74,15.92,86.19
08/04/2023,4478.03,305.691,1941.62,17.1,87.38
08/07/2023,4518.44,305.691,1936.39,15.77,86.47
08/08/2023,4499.38,305.691,1924.8199,15.99,88
08/09/2023,4467.71,305.691,1914.59,15.96,89.31
08/10/2023,4468.83,305.691,1912.0601,15.85,87.44
08/11/2023,4464.05,305.691,1913.3199,14.84,87.93
08/14/2023,4489.72,305.691,1907.9,14.82,87.4
08/15/2023,4437.86,305.691,1901.5601,16.46,86.28
08/16/2023,4404.33,305.691,1891.76,16.78,84.49
08/17/2023,4370.36,305.691,1888.89,17.89,85.24
08/18/2023,4369.71,305.691,1888.1899,17.3,85.92
08/21/2023,4399.77,305.691,1893.9399,17.13,85.44
