date,SP500,CPI,Gold,Nasdaq100,VIX,Oil
2023-01-02,,,1823.6899,,,82.82
2023-01-03,3824.14,,1839.49,10862.64,22.9,80.36
2023-01-04,3852.97,,1854.09,10914.8,22.01,75.31
2023-01-05,3808.1,,1833.1899,10741.22,22.46,76.73
2023-01-06,3895.08,,1865.71,11040.35,21.13,76.41
2023-01-09,3892.09,,1871.59,11108.45,21.97,77.5
2023-01-10,3919.25,,1877.27,11205.78,20.58,78.4
2023-01-11,3969.61,,1876.38,11402.52,21.09,81.11
2023-01-12,3983.17,,1896.86,11459.61,18.83,82.59
2023-01-13,3999.09,,1920.21,11541.48,18.35,83.43
2023-01-16,3990.97,,1918.0,11557.19,19.36,82.65
2023-01-17,3990.97,,1908.39,11557.19,19.36,84.38
2023-01-18,3928.86,,1903.76,11410.29,20.34,83.78
2023-01-19,3898.85,,1931.39,11295.67,20.52,85.08
2023-01-20,3972.61,,1926.5699,11619.03,19.85,86.96
2023-01-23,4019.81,,1931.3,11872.54,19.81,87.54
2023-01-24,4016.95,,1937.45,11846.64,19.2,85.25
2023-01-25,4016.22,,1945.9301,11814.69,19.08,85.08
2023-01-26,4060.43,,1928.99,12051.48,18.73,86.29
2023-01-27,4070.56,,1927.34,12166.6,18.51,85.36
2023-01-30,4017.77,,1922.52,11912.39,19.94,84.9
2023-01-31,4076.6,299.17,1927.88,12101.93,19.4,83.42
2023-02-01,4119.21,300.84,1950.42,12363.1,17.87,81.61
2023-02-02,4179.76,300.84,1912.37,12803.14,18.73,80.57
2023-02-03,4136.48,300.84,1865.53,12573.36,18.33,78.85
2023-02-06,4111.08,300.84,1867.36,12464.51,19.43,80.48
2023-02-07,4164.0,300.84,1873.8101,12728.27,18.66,82.92
2023-02-08,4117.86,300.84,1875.59,12495.38,19.63,84.17
2023-02-09,4081.5,300.84,1861.39,12381.17,20.71,83.46
2023-02-10,4090.46,300.84,1864.67,12304.92,20.53,85.46
2023-02-13,4137.29,300.84,1853.39,12502.31,20.34,85.98
2023-02-14,4136.13,300.84,1854.29,12590.89,18.91,84.96
2023-02-15,4147.6,300.84,1836.1899,12687.89,18.23,84.11
2023-02-16,4090.41,300.84,1837.4399,12442.48,20.17,83.84
2023-02-17,4079.09,300.84,1841.59,12358.18,20.02,81.97
2023-02-20,3997.34,300.84,1841.14,12060.3,22.87,82.79
2023-02-21,3997.34,300.84,1834.3199,12060.3,22.87,82.14
2023-02-22,3991.05,300.84,1825.04,12066.27,22.29,79.55
2023-02-23,4012.32,300.84,1822.64,12180.14,21.14,82.08
2023-02-24,3970.04,300.84,1810.8101,11969.65,21.67,82.31
2023-02-27,3982.24,300.84,1817.3101,12057.79,20.95,81.24
2023-02-28,3970.15,300.84,1827.15,12042.12,20.7,83.21
2023-03-01,3951.39,301.836,1836.8101,11938.57,20.58,83.68
2023-03-02,3981.35,301.836,1836.0,12044.87,19.59,84.15
2023-03-03,4045.64,301.836,1830.89,12290.81,18.49,85.74
2023-03-06,4048.42,301.836,1830.89,12302.48,18.61,85.86
2023-03-07,3986.37,301.836,1830.89,12152.17,19.59,83.03
2023-03-08,3992.01,301.836,1830.89,12215.33,19.11,82.1
2023-03-09,3918.32,301.836,1830.89,11995.88,22.61,81.0
2023-03-10,3861.59,301.836,1867.83,11830.28,24.8,82.3
2023-03-13,3855.76,301.836,1913.24,11923.17,26.52,79.67
2023-03-14,3919.29,301.836,1902.12,12199.79,23.73,76.77
2023-03-15,3891.93,301.836,1918.1,12251.32,26.14,74.3
2023-03-16,3960.28,301.836,1919.12,12581.39,22.99,73.12
2023-03-17,3916.64,301.836,1987.9301,12519.88,25.51,71.03
